"Player","Team","Pos","Ht","Wt","Hometown","Exp","Debut","DOB","Age","G","MPG","PPG","RPG","APG"
"Gregory Jackson","MEM","","6-09","210","Columbia, South Carolina","","2024","2004-12-17","19","2","2.5","0.0","1.5","0.0"
"Dariq Whitehead","BRK","","6-07","217","Newark, New Jersey","","2024","2004-08-01","19","3","14.0","5.7","3.7","1.0"
"Bilal Coulibaly","WAS","SF","6-08","194","Saint-Claude, France","","2024","2004-07-26","19","62","26.7","8.5","4.0","1.7"
"Noah Clowney","BRK","C","6-10","205","Spartanburg, South Carolina","","2024","2004-07-14","19","23","15.6","5.8","3.5","0.8"
"Cam Whitmore","HOU","SF","6-07","232","Odenton, Maryland","","2024","2004-07-08","19","47","18.2","12.3","3.8","0.7"
"Rayan Rupert","POR","SG","6-07","185","Strasbourg, France","","2024","2004-05-31","19","39","15.7","4.0","2.4","1.6"
"Nick Smith","CHH","SG","6-05","180","Jacksonville, Arkansas","","2024","2004-04-18","20","50","14.2","6.0","1.5","1.2"
"Sidy Cissoko","SAS","PF","6-08","200","Saint-Maurice, France","","2024","2004-04-02","20","11","12.4","4.1","2.0","0.9"
"Jordan Walsh","BOS","SG","6-07","205","Dallas, TX","","2024","2004-03-03","20","10","8.4","1.7","2.1","0.5"
"Amari Bailey","CHH","SG","6-05","185","","","2024","2004-02-17","20","9","6.8","2.6","1.0","0.8"
"Dereck Lively II","DAL","C","7-01","230","Philadelphia, Pennsylvania","","2024","2004-02-12","20","64","22.6","8.6","6.8","1.1"
"Scoot Henderson","POR","PG","6-02","195","Marietta, Georgia","","2024","2004-02-03","20","62","28.0","14.0","3.1","5.4"
"Emoni Bates","CLE","SF","6-10","180","Ypsilanti, Michigan","","2024","2004-01-28","20","12","10.3","3.4","1.2","0.8"
"Anthony Black","ORL","PG","6-07","198","Las Colinas, Texas","","2024","2004-01-20","20","68","16.7","4.8","2.1","1.4"
"Victor Wembanyama","SAS","C","7-04","210","Le Chesnay, France","","2024","2004-01-04","20","71","29.1","21.4","10.6","3.8"
"Leonard Miller","MIN","PF","6-10","210","Toronto, Canada","","2024","2003-11-26","20","16","2.8","1.8","1.4","0.5"
"Taylor Hendricks","UTA","PF","6-09","214","Fort Lauderdale, Florida","","2024","2003-11-22","20","40","20.9","7.3","4.6","0.8"
"Gradey Dick","TOR","SF","6-08","205","Wichita, Kansas","","2024","2003-11-20","20","59","21.0","8.6","2.3","1.1"
"Jalen Duren","DET","C","6-11","250","New Castle, DE","","2023","2003-11-18","20","61","28.7","13.7","11.6","2.4"
"Keyonte George","UTA","PG","6-04","185","Lewisville, Texas","","2024","2003-11-08","20","75","26.5","13.0","2.8","4.4"
"Cason Wallace","OKC","SG","6-04","193","Dallas, Texas","","2024","2003-11-07","20","89","19.9","6.6","2.2","1.4"
"Julian Phillips","CHI","PF","6-08","198","Killeen, Texas","","2024","2003-11-05","20","35","8.6","2.5","1.0","0.3"
"Brice Sensabaugh","UTA","SF","6-06","235","Orlando, Florida","","2024","2003-10-30","20","32","17.8","7.5","3.2","1.7"
"Chris Livingston","MIL","SF","6-06","220","Akron, Ohio","","2024","2003-10-15","20","18","4.7","1.6","1.1","0.3"
"Kobe Bufkin","ATL","PG","6-04","187","Grand Rapids, Michigan","","2024","2003-09-21","20","17","11.0","4.8","1.9","1.6"
"Jett Howard","ORL","SG","6-08","215","Chicago, Illinois","","2024","2003-09-14","20","20","3.4","1.7","0.4","0.4"
